"acc_y";"acc_z";"time_ms";"acc_x"
386;457;4593;-760
386;457;4598;-760
386;480;4603;-772
409;480;4607;-772
398;456;4612;-780
387;469;4617;-764
387;469;4622;-764
406;481;4627;-774
406;481;4632;-781
406;481;4637;-781
406;481;4642;-781
391;454;4646;-781
391;454;4651;-760
385;468;4656;-760
405;481;4661;-760
405;455;4666;-760
397;455;4671;-789
390;466;4676;-770
390;466;4681;-768
390;466;4685;-768
390;466;4690;-768
407;481;4695;-768
407;481;4700;-768
409;478;4705;-779
409;461;4710;-779
386;461;4715;-756
409;486;4720;-758
414;482;4724;-778
414;482;4729;-778
414;482;4734;-778
414;482;4739;-772
385;451;4744;-765
385;451;4749;-765
385;478;4754;-765
400;478;4759;-765
406;480;4763;-770
390;453;4768;-759
390;453;4773;-759
390;453;4778;-756
410;489;4783;-756
418;485;4788;-772
418;485;4793;-772
418;485;4798;-779
418;485;4802;-779
409;459;4807;-779
403;483;4812;-762
409;486;4817;-762
409;486;4822;-767
409;486;4827;-772
392;451;4832;-772
388;451;4836;-772
388;451;4841;-752
388;451;4846;-772
388;451;4851;-772
414;484;4856;-772
406;464;4861;-772
406;464;4866;-785
384;459;4871;-758
384;459;4875;-777
412;481;4880;-777
412;481;4885;-781
399;459;4890;-781
399;459;4895;-781
399;459;4900;-781
388;448;4905;-770
388;448;4910;-770
416;474;4914;-780
397;457;4919;-787
397;457;4924;-766
386;452;4929;-766
386;452;4934;-766
386;452;4939;-755
386;452;4944;-776
401;486;4949;-776
401;486;4953;-776
400;463;4958;-776
385;452;4963;-767
400;482;4968;-762
400;482;4973;-762
400;482;4978;-798
407;480;4983;-798
373;445;4988;-781
373;445;4992;-781
373;445;4997;-753
373;445;5002;-753
389;481;5007;-753
408;489;5012;-760
408;489;5017;-760
396;456;5022;-766
396;456;5027;-752
405;486;5031;-752
405;486;5036;-752
420;485;5041;-769
420;485;5046;-782
420;485;5051;-782
403;463;5056;-782
403;463;5061;-782
386;471;5066;-755
405;481;5070;-761
405;481;5075;-780
405;481;5080;-780
401;471;5085;-780
395;478;5090;-750
395;478;5095;-763
395;478;5100;-763
395;478;5105;-763
417;489;5109;-763
412;477;5114;-780
387;446;5119;-753
387;446;5124;-753
387;446;5129;-758
417;479;5134;-758
415;470;5139;-777
415;470;5144;-777
415;470;5148;-780
415;470;5153;-780
393;444;5158;-780
417;486;5163;-767
417;482;5168;-767
412;482;5173;-782
412;482;5178;-778
387;450;5183;-778
387;470;5187;-778
388;470;5192;-755
388;470;5197;-780
388;470;5202;-780
410;480;5207;-780
410;448;5212;-780
389;448;5217;-785
386;467;5222;-774
386;467;5226;-788
386;481;5231;-788
408;481;5236;-788
384;449;5241;-788
384;449;5246;-788
384;449;5251;-788
384;468;5256;-757
383;468;5261;-757
411;481;5265;-776
391;449;5270;-783
391;449;5275;-783
391;449;5280;-758
391;449;5285;-758
384;462;5290;-758
384;462;5295;-780
409;479;5299;-780
409;479;5304;-788
388;449;5309;-788
382;459;5314;-755
409;487;5319;-755
409;487;5324;-754
409;487;5329;-779
409;487;5334;-779
398;453;5338;-779
398;453;5343;-757
385;459;5348;-762
385;459;5353;-762
411;485;5358;-762
414;481;5363;-762
414;481;5368;-787
383;456;5373;-758
383;456;5377;-754
409;483;5382;-754
409;483;5387;-754
417;483;5392;-769
417;483;5397;-765
417;483;5402;-765
417;458;5407;-765
386;458;5412;-765
410;483;5416;-759
415;488;5421;-774
415;488;5426;-774
415;488;5431;-763
397;455;5436;-763
405;477;5441;-753
405;477;5446;-753
405;477;5450;-773
405;477;5455;-773
410;481;5460;-773
396;455;5465;-787
403;486;5470;-787
403;486;5475;-761
403;486;5480;-775
414;487;5485;-775
401;457;5489;-775
401;457;5494;-789
401;457;5499;-755
401;457;5504;-755
379;451;5509;-755
413;490;5514;-755
413;490;5519;-772
403;462;5524;-785
403;462;5528;-770
377;453;5533;-770
377;453;5538;-770
414;487;5543;-770
414;487;5548;-768
414;487;5553;-768
403;461;5558;-787
403;461;5563;-787
380;446;5567;-771
398;478;5572;-768
398;478;5577;-784
398;478;5582;-784
398;465;5587;-784
404;465;5592;-767
404;465;5597;-749
379;449;5601;-749
379;449;5606;-749
398;482;5611;-749
405;467;5616;-781
387;449;5621;-769
387;449;5626;-769
387;449;5631;-753
402;479;5636;-753
421;482;5640;-783
421;482;5645;-783
421;482;5650;-778
421;482;5655;-778
385;444;5660;-778
399;476;5665;-755
399;476;5670;-755
417;483;5675;-771
417;483;5679;-777
386;446;5684;-777
386;446;5689;-777
397;475;5694;-754
397;475;5699;-766
397;475;5704;-766
416;484;5709;-766
416;484;5714;-766
407;471;5718;-776
394;478;5723;-754
394;478;5728;-769
394;478;5733;-769
414;480;5738;-769
402;468;5743;-785
402;468;5748;-756
402;468;5753;-756
402;468;5757;-756
387;477;5762;-756
411;489;5767;-767
406;472;5772;-779
406;472;5777;-779
406;472;5782;-755
386;449;5787;-755
415;484;5792;-763
415;484;5796;-763
415;484;5801;-784
415;484;5806;-784
408;477;5811;-784
387;448;5816;-779
387;485;5821;-779
413;485;5826;-762
413;485;5830;-781
411;476;5835;-781
411;441;5840;-781
387;441;5845;-782
387;441;5850;-761
387;441;5855;-761
390;472;5860;-761
390;476;5865;-761
410;476;5869;-780
390;449;5874;-779
390;449;5879;-755
390;465;5884;-755
388;465;5889;-755
414;474;5894;-778
414;474;5899;-782
